Date,Anomaly
1878-02-01,0.24
1878-03-01,0.26
1878-04-01,0.07
1878-05-01,0.04
1878-06-01,0.10
1878-07-01,0.05
1878-08-01,0.03
1878-09-01,0.01
1878-10-01,-0.05
1878-11-01,-0.09
1878-12-01,-0.08
1879-01-01,-0.07
1879-02-01,-0.03
1879-03-01,-0.03
1879-04-01,-0.07
1879-05-01,-0.06
1879-06-01,-0.12
1879-07-01,-0.08
1879-08-01,-0.17
1879-09-01,-0.14
1879-10-01,-0.08
1879-11-01,-0.22
1879-12-01,-0.31
1880-01-01,-0.17
1880-02-01,-0.18
1880-03-01,-0.11
1880-04-01,-0.15
1880-05-01,-0.07
1880-06-01,-0.20
1880-07-01,-0.22
1880-08-01,-0.13
1880-09-01,-0.17
1880-10-01,-0.31
1880-11-01,-0.18
1880-12-01,-0.16
1881-01-01,-0.15
1881-02-01,-0.17
1881-03-01,-0.08
1881-04-01,-0.02
1881-05-01,-0.01
1881-06-01,-0.20
1881-07-01,-0.09
1881-08-01,-0.06
1881-09-01,-0.18
1881-10-01,-0.25
1881-11-01,-0.26
1881-12-01,-0.09
1882-01-01,0.15
1882-02-01,0.05
1882-03-01,-0.03
1882-04-01,-0.19
1882-05-01,-0.20
1882-06-01,-0.22
1882-07-01,-0.17
1882-08-01,-0.07
1882-09-01,-0.11
1882-10-01,-0.28
1882-11-01,-0.22
1882-12-01,-0.25
1883-01-01,-0.33
1883-02-01,-0.35
1883-03-01,-0.18
1883-04-01,-0.18
1883-05-01,-0.17
1883-06-01,-0.16
1883-07-01,-0.12
1883-08-01,-0.16
1883-09-01,-0.28
1883-10-01,-0.24
1883-11-01,-0.28
1883-12-01,-0.23
1884-01-01,-0.17
1884-02-01,-0.21
1884-03-01,-0.30
1884-04-01,-0.36
1884-05-01,-0.32
1884-06-01,-0.33
1884-07-01,-0.37
1884-08-01,-0.32
1884-09-01,-0.31
1884-10-01,-0.30
1884-11-01,-0.41
1884-12-01,-0.34
1885-01-01,-0.58
